data,hora,taxa
2023/09/29,13:41:26,13.053735445135242
2023/09/29,13:41:28,12.390705005988313
2023/09/29,13:41:31,12.188855355250457
2023/09/29,13:41:33,12.33740207671571
2023/09/29,13:41:35,12.613322103095784
2023/09/29,13:41:37,12.580320765520352
2023/09/29,13:41:40,13.101000592293126
2023/09/29,13:41:43,12.336959159378372
2023/09/29,13:41:45,13.074031882533214
2023/09/29,13:41:48,12.783908683428134
2023/09/29,13:43:45,12.901332739569895
2023/09/29,13:43:48,12.83329816056947
2023/09/29,13:43:50,12.990209456469797
2023/09/29,13:43:52,12.159674244311052
2023/09/29,13:43:55,13.030725965903116
2023/09/29,13:43:57,13.017270580401222
2023/09/29,13:43:59,12.488084472786486
2023/09/29,13:44:02,12.612922880866908
2023/09/29,13:44:03,12.318626578500595
2023/09/29,13:44:06,12.538376227978604
