data,hora,taxa
2023/09/29,13:41:03,12.415418579367513
2023/09/29,13:41:05,12.425748289587517
2023/09/29,13:41:07,12.626165322316618
2023/09/29,13:41:10,12.433310617846663
2023/09/29,13:41:12,12.611147488196131
2023/09/29,13:41:14,12.420727807800057
2023/09/29,13:41:16,12.849886051594321
2023/09/29,13:41:18,12.752634384136375
2023/09/29,13:41:21,13.095426001296438
2023/09/29,13:41:23,12.800913099295503
2023/09/29,13:43:22,12.298810721736475
2023/09/29,13:43:24,12.632544983034835
2023/09/29,13:43:26,13.055503279254244
2023/09/29,13:43:28,13.143526450969745
2023/09/29,13:43:31,12.616986931028118
2023/09/29,13:43:33,13.125324984251408
2023/09/29,13:43:35,12.188150252775067
2023/09/29,13:43:38,13.036603729938355
2023/09/29,13:43:40,12.88354172863428
2023/09/29,13:43:42,12.637670191593083
