data,hora,taxa
2023/07/02,23:10:06,13.945097553352054
2023/07/02,23:10:08,13.881472112342495
2023/07/02,23:10:11,13.834266790565882
2023/07/02,23:10:13,13.193673852712696
2023/07/02,23:10:16,13.767733892591453
2023/07/02,23:10:18,13.878793247041365
2023/07/02,23:10:20,13.786710749815331
2023/07/02,23:10:23,13.545981539863563
2023/07/02,23:10:25,13.417578628958138
2023/07/02,23:10:27,13.257945330372866
2023/07/02,23:17:10,13.73816986570028
2023/07/02,23:17:12,13.277362207644233
2023/07/02,23:17:14,14.096286377972248
2023/07/02,23:17:16,13.729674878548
2023/07/02,23:17:19,13.406035698535707
2023/07/02,23:17:21,13.696254601363137
2023/07/02,23:17:23,13.255429008123834
2023/07/02,23:17:25,14.147927043097079
2023/07/02,23:17:27,13.459769081813956
2023/07/02,23:17:30,13.575109941019226
2023/07/02,23:40:47,14.027609651509694
2023/07/02,23:40:50,13.957890890273994
2023/07/02,23:40:52,13.580203350005476
2023/07/02,23:40:55,13.422532389273462
2023/07/02,23:40:57,13.741867065630684
2023/07/02,23:40:59,13.721323516026033
2023/07/02,23:41:01,13.793036796237244
2023/07/02,23:41:04,13.76516327042596
2023/07/02,23:41:07,13.759339527678735
2023/07/02,23:41:08,13.333808310926635
2023/07/02,23:49:35,13.159248164602303
2023/07/02,23:49:38,13.426138064850262
2023/07/02,23:49:40,13.327998896726225
2023/07/02,23:49:42,14.017032518861908
2023/07/02,23:49:45,13.157353851518883
2023/07/02,23:49:47,14.13257526146485
2023/07/02,23:49:49,13.97584690855467
2023/07/02,23:49:51,14.003738434570273
2023/07/02,23:49:54,13.853207599189911
2023/07/02,23:49:56,13.394888188604057
